,0,1,2,3,4,5,6,7
0,877,806,1712,1263,534753,531307,492936,302808
0,29456,22625,128196,62090,531927,534342,502057,261390
0,13788,53221,189358,67396,535846,536611,374649,157299
0,17970,31686,144178,51539,538200,499396,401615,180906
0,10791,42678,137127,226177,538466,514667,384568,168947
0,1024,997,1406,1249,165060,114839,77468,71302
0,11043,34689,177756,87604,509258,348793,376035,179433
0,1070,800,1572,1074,542781,488284,485094,335172
0,52969,8452,103257,106392,538639,448892,492211,248277
0,16415,48680,170295,99338,545926,496244,391939,165971
0,12065,58751,128347,228521,544392,497942,341933,139766
0,1006,1046,1407,1006,166904,114615,84763,68578
0,14987,43613,92427,26043,553327,528884,399099,217752
0,12669,39699,147764,76224,550083,500405,346097,167310
0,939,691,1465,1567,550205,530293,559727,326128
0,34085,12241,81799,102367,550148,550349,501947,308479
0,993,834,1007,988,158479,110907,79306,71818
0,852,883,841,1028,179928,115603,79926,71479
0,17384,63038,141416,45105,546122,508876,362674,146296
0,19552,43539,117873,46167,554880,557121,391584,183387
0,17499,50599,162281,83588,510689,525709,362108,165560
0,12346,48834,121955,357870,538646,523158,347623,145481
0,957,871,1509,1046,166584,133285,81654,65530
0,17764,50914,151254,76421,489810,499776,335504,150229
0,898,1027,949,1021,73903,73698,83830,70679
0,762,860,829,936,71011,68116,66454,71203
0,853,808,875,880,65872,67661,76817,68168
0,812,850,850,911,62373,69377,66362,66986
0,821,799,840,902,71472,68068,67394,67911
0,867,780,863,893,63119,65490,65828,65473
0,801,768,862,879,62695,67850,64243,66244
0,790,865,888,855,62233,63542,64399,64488
0,805,901,964,865,61542,66596,63266,64747
0,823,901,975,904,58455,61895,64680,70281
0,817,972,1105,833,59153,63415,60636,61177
0,832,992,940,1073,59829,63040,59577,61897
0,961,1055,1039,921,81921,93733,84037,69787
0,840,1091,855,897,67985,71514,81285,69447
0,863,751,957,834,61575,66910,72839,70939
0,719,910,824,830,63967,70471,67428,86276
0,829,1106,845,868,72688,69899,66126,68172
0,856,951,857,896,63522,70139,65586,68597
0,801,759,849,873,63293,65381,65308,66188
0,830,791,886,937,63561,64715,62082,64526
0,797,1121,1074,846,162469,107655,76107,64633
0,1067,818,797,917,58752,63791,62724,62642
0,862,880,888,900,67116,61744,64270,60300
0,903,852,962,1000,59091,61241,68882,60183
0,966,930,885,895,76827,67654,73161,67950
0,804,983,815,822,78057,68847,81482,68349
0,801,909,1161,888,67133,70873,66996,70934
0,799,788,845,856,71968,66782,76293,67224
0,820,869,877,869,64076,65926,78868,66307
0,832,858,805,892,63679,75621,84611,66238
0,983,831,909,786,63205,65290,65729,65404
0,781,783,818,876,62562,65195,64223,65457
0,831,742,931,900,61530,64178,64242,63704
0,870,912,951,900,61289,68228,63418,62925
0,974,881,949,881,59743,61236,64223,61669
0,916,952,906,968,69506,61464,82750,60177
0,1430,950,877,875,65591,161177,95161,69054
0,787,795,855,958,82670,80122,66027,66724
0,882,827,874,826,64334,66687,65357,65939
0,830,711,855,939,66503,66939,73784,80196
0,722,814,834,885,64166,66693,64881,65448
0,811,791,863,853,81852,65912,86158,65141
0,816,833,877,898,79658,65236,63760,79321
0,817,804,905,884,63862,64744,63775,64235
0,875,1053,839,856,63150,65121,62540,63584
0,795,822,942,924,77753,63489,61758,61643
0,832,828,927,927,79586,78868,60683,61492
0,895,942,916,979,80624,61950,59808,59591
0,872,1027,944,893,71331,69222,72480,75616
0,799,1059,887,931,63284,70219,64735,66218
0,795,973,962,919,78901,70652,65511,66812
0,761,773,847,906,76816,66233,63169,65452
0,809,794,884,833,62195,82038,80170,89451
0,896,801,876,1005,83179,64978,83327,79464
0,843,833,837,939,61741,64455,78119,63512
0,836,840,968,1195,62123,64213,63289,63054
0,849,889,978,1096,61670,63073,62565,62814
0,843,859,930,865,61142,62013,61418,61431
0,841,839,907,902,76375,61344,60186,60047
0,812,963,941,922,58066,75543,58893,58555
0,99734,268155,572601,90062,67944,66394,68566,68014
0,183646,467327,317916,39009,61337,68614,73671,64948
0,443102,383717,84621,10520,62708,67656,64834,65203
0,373866,96876,23740,4195,62860,68153,75617,63952
0,117548,32398,9056,2268,62164,66563,63972,65147
0,34441,12553,3604,2290,83955,63909,64686,64067
0,100000,278042,592211,90242,76004,63831,63769,64464
0,189447,473694,344015,41613,61122,70661,63129,62535
0,468578,478498,94232,12170,60582,62448,61447,62660
0,415537,146514,29770,5397,60459,62363,61598,61548
0,116704,35905,7861,2128,59210,61307,60741,61227
0,34167,11542,3508,1472,58710,61453,76370,60183
0,736,871,1443,1411,536587,526607,493564,263608
0,82765,41742,74778,60395,535648,536246,517914,272603
0,14420,18132,94282,93934,535192,525400,466735,239758
0,35839,16976,59107,51408,508841,538837,494171,285026
0,9484,11746,63960,165921,477917,503635,459633,216463
0,820,1186,1913,1574,330106,267360,146761,82822
0,44181,12101,2141,2075,487759,499203,481295,240114
0,73378,74413,75569,29384,541666,532618,412020,168371
0,11715,18258,102778,86786,544863,532286,448948,201908
0,26417,14818,64600,42984,541091,502203,487620,248637
0,9939,24440,77632,175477,546280,495963,429011,194627
0,901,1049,1447,1065,260314,192580,114229,76761
0,17669,9104,100387,85723,448415,487178,446443,229191
0,841,1143,1252,2549,534441,530754,448193,212908
0,53170,63477,89648,31096,552707,551766,437265,190991
0,17349,16713,64990,95969,490349,551582,489472,245741
0,7687,26350,72930,255079,551021,521002,378218,161683
0,838,854,1394,997,239226,172471,100817,73256
0,16397,31646,85358,87851,468117,548143,457444,215619
0,873,1067,1211,1857,517076,533349,457612,244206
