,Plate,Alpha,DNA
0,P1,3347,532039
1,P1,1212,525976
2,P1,1099,558616
3,P1,982,540626
0,P1,1095,529142
1,P1,914,529393
2,P1,763,556263
3,P1,986,540103
0,P1,928,530247
1,P1,844,529775
2,P1,877,555060
3,P1,1366,375675
0,P1,17727,532099
1,P1,60735,532248
2,P1,100538,393655
3,P1,161911,279706
0,P1,7288,531449
1,P1,37859,531168
2,P1,89520,459660
3,P1,143539,300814
0,P1,13486,533239
1,P1,62161,534691
2,P1,94151,452107
3,P1,134950,301297
0,P1,12634,533382
1,P1,39308,534819
2,P1,102308,434420
3,P1,136696,294313
0,P1,16086,537220
1,P1,59387,536178
2,P1,104020,458524
3,P1,155559,300623
0,P1,16154,535418
1,P1,49680,540088
2,P1,105845,418139
3,P1,183754,259229
0,P1,13895,542273
1,P1,64457,452602
2,P1,104008,339458
3,P1,232182,198559
0,P1,7620,536991
1,P1,47904,484334
2,P1,71189,352709
3,P1,175323,220588
0,P1,12026,543867
1,P1,42898,498692
2,P1,67279,346386
3,P1,129735,231178
0,P1,710,80564
1,P1,803,87374
2,P1,838,81234
3,P1,820,83629
0,P1,750,78599
1,P1,744,71253
2,P1,744,68307
3,P1,803,63885
0,P1,601,77672
1,P1,784,80469
2,P1,716,78583
3,P1,605,87652
0,P1,680,86094
1,P1,801,190615
2,P1,706,80626
3,P1,711,72739
0,P1,683,71953
1,P1,910,69330
2,P1,901,70640
3,P1,1006,71292
0,P1,685,61556
1,P1,687,66499
2,P1,827,67908
3,P1,892,69660
0,P1,902,69825
1,P1,730,67271
2,P1,810,66492
3,P1,791,67142
0,P1,723,62335
1,P1,799,65540
2,P1,747,66019
3,P1,825,65301
0,P1,750,61792
1,P1,833,67024
2,P1,831,65686
3,P1,872,65515
0,P1,798,61132
1,P1,740,77541
2,P1,761,78262
3,P1,776,64112
0,P1,787,83199
1,P1,737,76333
2,P1,824,79024
3,P1,862,81923
0,P1,826,64857
1,P1,939,71783
2,P1,896,81985
3,P1,813,75703
0,P1,3935,560208
1,P1,1599,557867
2,P1,1034,495924
3,P1,956,413309
0,P1,1103,559981
1,P1,717,447393
2,P1,910,568067
3,P1,856,414899
0,P1,1103,560364
1,P1,770,523110
2,P1,759,565938
3,P1,883,568256
0,P1,9021,561045
1,P1,24494,561714
2,P1,75915,521644
3,P1,133242,347025
0,P1,6694,560702
1,P1,20638,562662
2,P1,63984,524403
3,P1,108749,369197
0,P1,9781,561550
1,P1,39365,561528
2,P1,88422,497767
3,P1,148139,336276
0,P1,8829,562701
1,P1,27457,564247
2,P1,73010,511373
3,P1,114368,355002
0,P1,7624,561441
1,P1,18169,560803
2,P1,80737,521105
3,P1,139873,371318
0,P1,10438,562593
1,P1,45625,562775
2,P1,87791,489903
3,P1,154766,326858
0,P1,11858,564290
1,P1,41422,565105
2,P1,64239,403361
3,P1,164893,266786
0,P1,6353,563445
1,P1,26327,564532
2,P1,45256,450956
3,P1,103125,303576
0,P1,5444,563223
1,P1,30964,559996
2,P1,54709,407282
3,P1,133279,241998
0,P1,164108,81296
1,P1,432966,68598
2,P1,508350,76572
3,P1,185850,73702
0,P1,418026,78502
1,P1,288026,71636
2,P1,129526,71482
3,P1,38491,73971
0,P1,340551,64962
1,P1,99951,68861
2,P1,37300,73442
3,P1,11576,74444
0,P1,122289,65608
1,P1,26097,73633
2,P1,12956,71215
3,P1,5505,70883
0,P1,31743,65561
1,P1,9798,69547
2,P1,5004,69077
3,P1,2430,70149
0,P1,9878,64573
1,P1,4506,67518
2,P1,2395,78299
3,P1,1891,72308
0,P1,180163,64232
1,P1,463970,68950
2,P1,536657,69146
3,P1,224905,69264
0,P1,414961,63820
1,P1,401699,68424
2,P1,179991,68131
3,P1,61109,68145
0,P1,318565,65087
1,P1,112466,66280
2,P1,43630,67346
3,P1,17449,67547
0,P1,135688,62924
1,P1,38649,73535
2,P1,14801,70206
3,P1,6102,78570
0,P1,29110,74231
1,P1,10560,64120
2,P1,5079,80258
3,P1,2633,81655
0,P1,9894,81367
1,P1,4599,67035
2,P1,2464,85071
3,P1,1538,62067
0,P1,2144,421278
1,P1,3446,274791
2,P1,3285,172183
3,P1,2022,115701
0,P1,1635,427012
1,P1,3269,257239
2,P1,2961,154690
3,P1,1700,108144
0,P1,1243,376537
1,P1,4695,206243
2,P1,2604,135478
3,P1,1549,99214
0,P1,142696,213319
1,P1,60847,136132
2,P1,17337,99871
3,P1,4918,82214
0,P1,139190,213853
1,P1,51800,132703
2,P1,17732,98946
3,P1,4860,80810
0,P1,142961,194115
1,P1,46939,119333
2,P1,15487,97501
3,P1,4435,79922
0,P1,136489,203357
1,P1,57776,130504
2,P1,16283,93683
3,P1,4752,79488
0,P1,147274,207712
1,P1,61611,130243
2,P1,17774,98119
3,P1,5176,83060
0,P1,143580,191459
1,P1,54536,117374
2,P1,15258,90503
3,P1,4502,79127
0,P1,199420,145085
1,P1,88539,96682
2,P1,24972,91422
3,P1,7394,87828
0,P1,187542,162506
1,P1,103695,107248
2,P1,35361,94120
3,P1,10300,86827
0,P1,205343,151529
1,P1,103185,97617
2,P1,30132,94411
3,P1,8087,81191
0,P1,996,82111
1,P1,853,199129
2,P1,1111,75214
3,P1,1156,74391
0,P1,853,90415
1,P1,836,77032
2,P1,793,75296
3,P1,735,85015
0,P1,737,74077
1,P1,795,104297
2,P1,758,92143
3,P1,780,89200
0,P1,781,70507
1,P1,863,70355
2,P1,821,80776
3,P1,821,89095
0,P1,818,85791
1,P1,958,71873
2,P1,788,69809
3,P1,809,69355
0,P1,823,72129
1,P1,769,70077
2,P1,825,68799
3,P1,821,87684
0,P1,764,70021
1,P1,791,69251
2,P1,826,71373
3,P1,836,81916
0,P1,894,69098
1,P1,868,69008
2,P1,792,83131
3,P1,764,79361
0,P1,828,68318
1,P1,792,68646
2,P1,901,71335
3,P1,854,66415
0,P1,802,80311
1,P1,880,65658
2,P1,886,65770
3,P1,816,65288
0,P1,870,82533
1,P1,878,85448
2,P1,853,88841
3,P1,862,87431
0,P1,851,115474
1,P1,866,119297
2,P1,853,88228
3,P1,970,84342
0,P1,1272,494149
1,P1,2702,322002
2,P1,3052,207470
3,P1,2171,130900
0,P1,2042,452979
1,P1,3399,287359
2,P1,2895,178572
3,P1,1944,123072
0,P1,1493,473266
1,P1,2887,298097
2,P1,3457,182476
3,P1,2337,125020
0,P1,145002,243623
1,P1,88685,156136
2,P1,24601,115671
3,P1,8215,108426
0,P1,143399,253065
1,P1,80447,152547
2,P1,29076,102809
3,P1,8050,104436
0,P1,158939,236506
1,P1,83204,134367
2,P1,25658,101171
3,P1,7237,83066
0,P1,173165,223760
1,P1,88507,143769
2,P1,27204,117275
3,P1,7620,102195
0,P1,172475,254804
1,P1,98499,152195
2,P1,32012,104942
3,P1,8921,84330
0,P1,154141,220994
1,P1,74805,140748
2,P1,22009,110276
3,P1,5955,97461
0,P1,230620,175062
1,P1,143019,113838
2,P1,50530,88065
3,P1,14486,93426
0,P1,154781,217783
1,P1,168633,158360
2,P1,69896,109712
3,P1,21311,91062
0,P1,204341,176451
1,P1,134009,115914
2,P1,47979,141656
